Date,Product,Sales_Quantity,Stock_Level,Promotion_Applied
2023-01-01,Product_A,127,90,False
2023-01-02,Product_A,222,85,False
2023-01-03,Product_A,249,917,False
2023-01-04,Product_A,241,851,False
2023-01-05,Product_A,386,948,False
2023-01-06,Product_A,239,490,False
2023-01-07,Product_A,476,506,True
2023-01-08,Product_A,283,461,True
2023-01-09,Product_A,131,705,False
2023-01-10,Product_A,69,646,True
2023-01-11,Product_A,271,899,False
2023-01-12,Product_A,285,220,False
2023-01-13,Product_A,265,291,True
2023-01-14,Product_A,322,873,False
2023-01-15,Product_A,221,398,True
2023-01-16,Product_A,208,681,True
2023-01-17,Product_A,445,372,False
2023-01-18,Product_A,24,511,True
2023-01-19,Product_A,489,935,True
2023-01-20,Product_A,486,370,False
2023-01-21,Product_A,144,442,True
2023-01-22,Product_A,396,472,False
2023-01-23,Product_A,13,51,True
2023-01-24,Product_A,436,778,False
2023-01-25,Product_A,64,195,True
2023-01-26,Product_A,196,893,False
2023-01-27,Product_A,65,905,True
2023-01-28,Product_A,65,235,False
2023-01-29,Product_A,252,574,False
2023-01-30,Product_A,469,845,True
2023-01-31,Product_A,337,512,True
2023-02-01,Product_A,23,305,True
2023-02-02,Product_A,443,947,False
2023-02-03,Product_A,475,264,True
2023-02-04,Product_A,145,780,True
2023-02-05,Product_A,122,326,False
2023-02-06,Product_A,76,357,True
2023-02-07,Product_A,491,691,False
2023-02-08,Product_A,420,657,False
2023-02-09,Product_A,271,438,False
2023-02-10,Product_A,336,661,False
2023-02-11,Product_A,147,122,True
2023-02-12,Product_A,61,209,True
2023-02-13,Product_A,198,699,False
2023-02-14,Product_A,462,464,False
2023-02-15,Product_A,392,553,True
2023-02-16,Product_A,420,577,True
2023-02-17,Product_A,345,624,True
2023-02-18,Product_A,230,144,True
2023-02-19,Product_A,313,245,True
2023-02-20,Product_A,13,986,False
2023-02-21,Product_A,422,164,True
2023-02-22,Product_A,256,338,True
2023-02-23,Product_A,271,604,True
2023-02-24,Product_A,488,892,False
2023-02-25,Product_A,115,927,False
2023-02-26,Product_A,233,538,False
2023-02-27,Product_A,444,565,True
2023-02-28,Product_A,266,268,True
2023-03-01,Product_A,448,52,False
2023-03-02,Product_A,401,932,False
2023-03-03,Product_A,109,664,False
2023-03-04,Product_A,225,457,True
2023-03-05,Product_A,322,432,False
2023-03-06,Product_A,458,486,False
2023-03-07,Product_A,325,557,True
2023-03-08,Product_A,42,140,False
2023-03-09,Product_A,333,526,True
2023-03-10,Product_A,439,504,True
2023-03-11,Product_A,145,83,False
2023-03-12,Product_A,91,519,False
2023-03-13,Product_A,301,788,True
2023-03-14,Product_A,204,384,True
2023-03-15,Product_A,161,727,False
2023-03-16,Product_A,260,264,True
2023-03-17,Product_A,236,478,True
2023-03-18,Product_A,272,240,True
2023-03-19,Product_A,376,255,True
2023-03-20,Product_A,335,605,False
2023-03-21,Product_A,223,369,False
2023-03-22,Product_A,51,524,True
2023-03-23,Product_A,422,95,True
2023-03-24,Product_A,215,511,False
2023-03-25,Product_A,295,354,False
2023-03-26,Product_A,41,79,False
2023-03-27,Product_A,59,501,False
2023-03-28,Product_A,379,726,True
2023-03-29,Product_A,150,445,True
2023-03-30,Product_A,238,522,True
2023-03-31,Product_A,465,319,False
2023-04-01,Product_A,393,859,False
2023-04-02,Product_A,60,519,True
2023-04-03,Product_A,14,908,False
2023-04-04,Product_A,478,556,True
2023-04-05,Product_A,476,549,False
2023-04-06,Product_A,150,864,False
2023-04-07,Product_A,163,429,False
2023-04-08,Product_A,243,963,True
2023-04-09,Product_A,102,942,True
2023-04-10,Product_A,302,221,True
2023-04-11,Product_A,233,153,False
2023-04-12,Product_A,439,173,False
2023-04-13,Product_A,356,353,False
2023-04-14,Product_A,403,108,False
2023-04-15,Product_A,411,237,False
2023-04-16,Product_A,258,91,True
2023-04-17,Product_A,399,326,True
2023-04-18,Product_A,249,254,False
2023-04-19,Product_A,91,615,True
2023-04-20,Product_A,197,253,False
2023-04-21,Product_A,95,639,True
2023-04-22,Product_A,58,206,False
2023-04-23,Product_A,19,135,False
2023-04-24,Product_A,199,115,True
2023-04-25,Product_A,302,998,True
2023-04-26,Product_A,433,519,True
2023-04-27,Product_A,447,66,True
2023-04-28,Product_A,365,889,False
2023-04-29,Product_A,235,736,False
2023-04-30,Product_A,303,863,False
2023-05-01,Product_A,482,794,False
2023-05-02,Product_A,111,250,False
2023-05-03,Product_A,205,673,False
2023-05-04,Product_A,276,438,False
2023-05-05,Product_A,106,428,False
2023-05-06,Product_A,409,742,True
2023-05-07,Product_A,326,575,True
2023-05-08,Product_A,105,203,True
2023-05-09,Product_A,196,568,False
2023-05-10,Product_A,383,769,False
2023-05-11,Product_A,284,799,True
2023-05-12,Product_A,124,260,True
2023-05-13,Product_A,329,143,True
2023-05-14,Product_A,233,418,True
2023-05-15,Product_A,310,511,True
2023-05-16,Product_A,74,130,True
2023-05-17,Product_A,254,504,False
2023-05-18,Product_A,139,160,True
2023-05-19,Product_A,303,154,False
2023-05-20,Product_A,256,667,True
2023-05-21,Product_A,483,378,False
2023-05-22,Product_A,343,443,False
2023-05-23,Product_A,292,663,False
2023-05-24,Product_A,451,919,False
2023-05-25,Product_A,106,828,True
2023-05-26,Product_A,211,54,True
2023-05-27,Product_A,150,615,False
2023-05-28,Product_A,288,331,False
2023-05-29,Product_A,25,833,False
2023-05-30,Product_A,411,196,True
2023-05-31,Product_A,191,328,False
2023-06-01,Product_A,483,145,True
2023-06-02,Product_A,11,325,False
2023-06-03,Product_A,195,568,True
2023-06-04,Product_A,234,517,True
2023-06-05,Product_A,229,458,False
2023-06-06,Product_A,370,900,False
2023-06-07,Product_A,206,941,True
2023-06-08,Product_A,128,877,True
2023-06-09,Product_A,250,793,False
2023-06-10,Product_A,342,810,False
2023-06-11,Product_A,205,249,False
2023-06-12,Product_A,410,822,False
2023-06-13,Product_A,448,438,True
2023-06-14,Product_A,329,355,True
2023-06-15,Product_A,144,403,True
