Order Number,Order Date and Time,Order_City,Restaurant Type,Total Bill (in Saudi Riyals),Delivery Duration (in minutes),Customer Rating (from 1 to 5 stars)
203,2025-01-18 12:17:27,Jeddah,Sweets,252.73143601862657,14.75811180112494,2.8603385352232293
204,2023-05-12 19:40:55,Buraidah,Barbecue,535.6974327920271,6.625502117355717,3.8761286153342627
205,2023-05-10 07:47:42,Hail,Coffee,395.11341437450267,13.524867604745507,4.111395424509603
206,2023-04-03 23:39:11,Abha,Fast Food,698.1110135127291,5.269616786458242,4.678355189457559
207,2024-12-21 13:30:53,Buraidah,Coffee,499.870515201633,8.422283880006914,4.739513603708762
208,2023-10-21 07:49:51,Jeddah,Sushi,369.3789303599155,19.283560915963776,2.890245162332569
209,2022-02-18 06:55:36,Dammam,Sushi,57.05168671458103,9.283195290700293,2.772908653516309
210,2023-05-26 01:57:20,Abha,Sushi,791.8114407843858,10.013235411434998,1.7269638316609033
211,2023-09-17 18:31:52,Buraidah,Vegetarian/Vegan,233.82053612693753,7.964571797424414,2.423939719908983
212,2022-02-10 15:54:20,Tabuk,Indian Cuisine,243.05472350375194,12.345536390290802,4.405704132134569
213,2023-08-23 05:57:58,Tabuk,Sweets,237.10725592239004,9.117187485154139,4.843260939883243
214,2024-04-22 19:54:26,Jeddah,Fast Food,207.24685705459635,18.331546346972154,1.0152678546983895
215,2024-05-18 00:38:42,Tabuk,Fast Food,659.1544520250661,12.554017721997617,1.1697607462211521
216,2023-03-17 01:34:46,Abha,Seafood,623.4987305652996,18.807314484212938,2.1056663945251697
217,2022-02-06 05:30:09,Khobar,Indian Cuisine,402.97575467909314,18.39265283498395,3.2993485517894316
218,2023-08-17 15:04:18,Tabuk,Seafood,459.99994255546835,15.667191233303823,3.821345413036457
219,2024-05-25 01:19:08,Tabuk,Fast Food,530.0410529856479,6.038699273999727,3.467358887353826
220,2024-06-13 16:32:19,Medina,Fast Food,694.5259934917805,7.849925231736076,4.879768099217531
221,2022-01-06 14:01:33,Buraidah,Italian Cuisine,365.32411288222795,4.413962251269005,3.917598185731873
222,2024-04-04 18:42:08,Buraidah,Coffee,755.6521677784219,13.376260791436525,3.5046522964651126
223,2023-08-22 00:43:55,Jeddah,Coffee,593.2564661824164,15.572887698185752,3.584593960312354
224,2022-01-03 10:01:59,Jeddah,Barbecue,715.4764241328241,7.101146806805788,2.5647370966857204
225,2024-11-29 20:01:09,Abha,Sushi,440.46207328002924,10.019568255240243,3.4669826032995474
226,2023-12-27 00:52:04,Buraidah,Indian Cuisine,188.63656416767424,18.731921167488245,3.203488644668112
227,2023-06-07 05:20:39,Medina,Pizzeria,631.1944290961723,4.242066070883519,4.224934742836428
228,2024-12-31 16:53:17,Medina,Burger,597.7940285612824,19.151016735506804,2.9930062688148436
229,2023-08-10 11:24:15,Tabuk,Barbecue,485.66869771262014,14.482789720853306,3.981149252451803
230,2023-10-12 22:05:08,Jeddah,Coffee,495.78597330352363,12.371277584919527,2.3746322152743886
